Date,Country,Production_tons,Import_tons,Export_tons,Consumption_tons,Net_Supply
2023-10-01,Netherlands,101182,17955,28515,94326,90622
2023-10-01,Germany,74397,28403,21915,80905,80885
2023-10-01,France,60568,10832,20771,51495,50629
2023-10-01,Poland,115923,21189,29786,106623,107326
2023-10-01,Italy,87877,12253,8371,88505,91759
2023-11-01,Netherlands,88447,10403,5651,93409,93199
2023-11-01,Germany,108506,12269,19050,101276,101725
2023-11-01,France,143761,11706,12360,138807,143107
2023-11-01,Poland,97090,21776,5905,109544,112961
2023-11-01,Italy,138501,23519,19215,138509,142805
2023-12-01,Netherlands,66451,18514,6551,76335,78414
2023-12-01,Germany,124540,18561,5459,137297,137642
2023-12-01,France,67224,12015,29541,49158,49698
2023-12-01,Poland,88503,13871,24956,75414,77418
2023-12-01,Italy,94436,5967,9823,85962,90580
2024-01-01,Netherlands,138432,6063,17021,124800,127474
2024-01-01,Germany,59085,7560,19314,43443,47331
2024-01-01,France,97370,24663,23743,103175,98290
2024-01-01,Poland,141044,26665,7080,159479,160629
2024-01-01,Italy,147425,16994,10672,157197,153747
2024-02-01,Netherlands,96626,27618,16092,105387,108152
2024-02-01,Germany,148339,25452,9680,165553,164111
2024-02-01,France,71136,9100,22975,52530,57261
2024-02-01,Poland,123336,19082,19925,122806,122493
2024-02-01,Italy,84368,10476,16578,81671,78266
2024-03-01,Netherlands,127006,5845,16229,111734,116622
2024-03-01,Germany,115575,21645,15239,123484,121981
2024-03-01,France,95288,25052,19281,104894,101059
2024-03-01,Poland,109739,13328,5309,113842,117758
2024-03-01,Italy,71905,29278,15366,83664,85817
2024-04-01,Netherlands,144350,22130,16428,153962,150052
2024-04-01,Germany,61982,29965,11336,77959,80611
2024-04-01,France,138942,18837,6017,148860,151762
2024-04-01,Poland,128816,19773,23998,122720,124591
2024-04-01,Italy,70824,15755,8413,78981,78166
2024-05-01,Netherlands,140787,21486,19054,145573,143219
2024-05-01,Germany,136502,27145,9184,152823,154463
2024-05-01,France,126008,25019,22918,130916,128109
2024-05-01,Poland,62106,12645,24395,54019,50356
2024-05-01,Italy,108872,8811,6042,107701,111641
2024-06-01,Netherlands,143115,25688,11211,153041,157592
2024-06-01,Germany,59209,14404,22291,47860,51322
2024-06-01,France,144906,12713,19310,135352,138309
2024-06-01,Poland,129752,8130,13582,126562,124300
2024-06-01,Italy,87535,16740,7227,99934,97048
2024-07-01,Netherlands,95184,29068,20275,106369,103977
2024-07-01,Germany,138397,19505,23029,136724,134873
2024-07-01,France,121425,23575,8273,134356,136727
2024-07-01,Poland,65719,5960,9137,59897,62542
2024-07-01,Italy,77838,17489,13523,86064,81804
2024-08-01,Netherlands,99181,7067,24204,85231,82044
2024-08-01,Germany,117188,5041,5411,112039,116818
2024-08-01,France,109761,11203,22200,99061,98764
2024-08-01,Poland,55993,28338,13932,68666,70399
2024-08-01,Italy,86308,20153,24248,82697,82213
2024-09-01,Netherlands,117834,16599,26000,108863,108433
2024-09-01,Germany,147587,9452,23381,131176,133658
2024-09-01,France,84213,28032,28968,82851,83277
2024-09-01,Poland,83738,27755,7169,105508,104324
2024-09-01,Italy,73420,15883,13748,72564,75555
2024-10-01,Netherlands,60442,20598,5600,78560,75440
2024-10-01,Germany,148356,29698,26190,151040,151864
2024-10-01,France,83574,16967,7880,88723,92661
2024-10-01,Poland,60221,16335,29254,42415,47302
2024-10-01,Italy,106159,10803,10958,110288,106004
2024-11-01,Netherlands,94471,20672,20011,97383,95132
2024-11-01,Germany,127767,14818,10140,128259,132445
2024-11-01,France,102386,19953,27187,90176,95152
2024-11-01,Poland,120806,15849,16641,123607,120014
2024-11-01,Italy,92633,26577,11527,106340,107683
2024-12-01,Netherlands,97550,12207,18015,91247,91742
2024-12-01,Germany,70251,23583,25220,64945,68614
2024-12-01,France,75282,20233,20128,70496,75387
2024-12-01,Poland,67577,15621,28943,54562,54255
2024-12-01,Italy,127995,29954,17742,141792,140207
